sStart Time, Thu Feb 23 14:42:53 GMT-0700 2023,,
Energy calibration,  Offset: -0.06771931052207947, Slope: 0.1000848338007927, Quadratic: 0
Live Time (s),433.07,,
Real Time (s),522.36,,
Elapsed Computational,1000000,,
Spectrum,,,
Channel, Energy (keV), Counts,
104,10.3411034,1196,
105,10.44118824,1181,
106,10.54127307,1133,
107,10.64135791,1123,
108,10.74144274,1130,
109,10.84152757,1173,
110,10.94161241,1120,
111,11.04169724,1161,
112,11.14178208,1158,
113,11.24186691,1204,
114,11.34195174,1122,
115,11.44203658,1113,
116,11.54212141,1159,
117,11.64220624,1142,
118,11.74229108,1176,
119,11.84237591,1078,
120,11.94246075,1086,
121,12.04254558,1125,
122,12.14263041,1098,
123,12.24271525,1085,
124,12.34280008,1156,
125,12.44288491,1111,
126,12.54296975,1183,
127,12.64305458,1144,
128,12.74313942,1069,
129,12.84322425,1138,
130,12.94330908,1101,
131,13.04339392,1145,
132,13.14347875,1060,
133,13.24356358,1164,
134,13.34364842,1078,
135,13.44373325,1140,
136,13.54381809,1071,
137,13.64390292,1138,
138,13.74398775,1119,
139,13.84407259,1070,
140,13.94415742,1076,
141,14.04424226,1055,
142,14.14432709,1125,
143,14.24441192,1075,
144,14.34449676,1055,
145,14.44458159,1022,
146,14.54466642,1103,
147,14.64475126,1076,
148,14.74483609,1098,
149,14.84492093,1084,
150,14.94500576,1044,
151,15.04509059,1059,
152,15.14517543,1085,
153,15.24526026,1075,
154,15.34534509,1052,
155,15.44542993,1024,
156,15.54551476,1064,
157,15.6455996,1042,
158,15.74568443,1030,
159,15.84576926,1047,
160,15.9458541,1065,
161,16.04593893,1073,
162,16.14602377,1079,
163,16.2461086,1064,
164,16.34619343,1035,
165,16.44627827,1050,
166,16.5463631,1021,
167,16.64644793,996,
168,16.74653277,1017,
169,16.8466176,1065,
170,16.94670244,1081,
